18:00:07 INFO src.database.init_db: マイグレーション: v_race_mart ビューを再作成しました
18:00:07 INFO src.database.init_db: DB 初期化完了: C:\dev\horse-racing-ai\data\umalogi.db
18:00:07 INFO __main__: 払戻未取得レース: 3456 件 (year=2025)
払戻取得:   0%|          | 0/3456 [00:00<?, ?race/s]18:00:10 INFO src.database.init_db: 払戻保存: race_id=202506010101, 12 件
払戻取得:   0%|          | 1/3456 [00:02<2:47:44,  2.91s/race, empty=0, err=0, saved=1]18:00:13 INFO src.database.init_db: 払戻保存: race_id=202506010102, 12 件
払戻取得:   0%|          | 2/3456 [00:05<2:43:35,  2.84s/race, empty=0, err=0, saved=2]18:00:15 INFO src.database.init_db: 払戻保存: race_id=202506010103, 12 件
払戻取得:   0%|          | 3/3456 [00:08<2:43:36,  2.84s/race, empty=0, err=0, saved=3]18:00:19 INFO src.database.init_db: 払戻保存: race_id=202506010104, 12 件
払戻取得:   0%|          | 4/3456 [00:11<2:50:16,  2.96s/race, empty=0, err=0, saved=4]18:00:21 INFO src.database.init_db: 払戻保存: race_id=202506010105, 12 件
払戻取得:   0%|          | 5/3456 [00:14<2:48:37,  2.93s/race, empty=0, err=0, saved=5]18:00:24 INFO src.database.init_db: 払戻保存: race_id=202506010106, 12 件
払戻取得:   0%|          | 6/3456 [00:17<2:50:34,  2.97s/race, empty=0, err=0, saved=6]18:00:27 INFO src.database.init_db: 払戻保存: race_id=202506010107, 12 件
払戻取得:   0%|          | 7/3456 [00:20<2:49:35,  2.95s/race, empty=0, err=0, saved=7]18:00:30 INFO src.database.init_db: 払戻保存: race_id=202506010108, 12 件
払戻取得:   0%|          | 8/3456 [00:23<2:48:41,  2.94s/race, empty=0, err=0, saved=8]18:00:33 INFO src.database.init_db: 払戻保存: race_id=202506010109, 12 件
払戻取得:   0%|          | 9/3456 [00:26<2:47:25,  2.91s/race, empty=0, err=0, saved=9]18:00:36 INFO src.database.init_db: 払戻保存: race_id=202506010110, 12 件
払戻取得:   0%|          | 10/3456 [00:29<2:49:04,  2.94s/race, empty=0, err=0, saved=10]18:00:39 INFO src.database.init_db: 払戻保存: race_id=202506010111, 12 件
払戻取得:   0%|          | 11/3456 [00:32<2:46:09,  2.89s/race, empty=0, err=0, saved=11]18:00:42 INFO src.database.init_db: 払戻保存: race_id=202506010112, 12 件
払戻取得:   0%|          | 12/3456 [00:35<2:47:31,  2.92s/race, empty=0, err=0, saved=12]18:00:45 INFO src.database.init_db: 払戻保存: race_id=202507010101, 12 件
払戻取得:   0%|          | 13/3456 [00:37<2:45:56,  2.89s/race, empty=0, err=0, saved=13]18:00:48 INFO src.database.init_db: 払戻保存: race_id=202507010102, 12 件
払戻取得:   0%|          | 14/3456 [00:40<2:45:20,  2.88s/race, empty=0, err=0, saved=14]18:00:50 INFO src.database.init_db: 払戻保存: race_id=202507010103, 12 件
払戻取得:   0%|          | 15/3456 [00:43<2:45:48,  2.89s/race, empty=0, err=0, saved=15]18:00:53 INFO src.database.init_db: 払戻保存: race_id=202507010104, 12 件
払戻取得:   0%|          | 16/3456 [00:46<2:46:34,  2.91s/race, empty=0, err=0, saved=16]18:00:56 INFO src.database.init_db: 払戻保存: race_id=202507010105, 12 件
払戻取得:   0%|          | 17/3456 [00:49<2:44:49,  2.88s/race, empty=0, err=0, saved=17]18:00:59 INFO src.database.init_db: 払戻保存: race_id=202507010106, 12 件
払戻取得:   1%|          | 18/3456 [00:52<2:45:05,  2.88s/race, empty=0, err=0, saved=18]18:01:02 INFO src.database.init_db: 払戻保存: race_id=202507010107, 12 件
払戻取得:   1%|          | 19/3456 [00:55<2:45:03,  2.88s/race, empty=0, err=0, saved=19]18:01:05 INFO src.database.init_db: 払戻保存: race_id=202507010108, 12 件
払戻取得:   1%|          | 20/3456 [00:57<2:43:38,  2.86s/race, empty=0, err=0, saved=20]18:01:08 INFO src.database.init_db: 払戻保存: race_id=202507010109, 12 件
