11:02:26 INFO src.database.init_db: マイグレーション: v_race_mart ビューを再作成しました
11:02:26 INFO src.database.init_db: DB 初期化完了: C:\dev\horse-racing-ai\data\umalogi.db
11:02:26 INFO __main__: 払戻未取得レース: 910 件 (year=2026)
払戻取得:   0%|          | 0/910 [00:00<?, ?race/s]11:02:29 INFO src.database.init_db: 払戻保存: race_id=202606010101, 12 件
払戻取得:   0%|          | 1/910 [00:03<47:58,  3.17s/race, empty=0, err=0, saved=1]11:02:32 INFO src.database.init_db: 払戻保存: race_id=202606010102, 12 件
払戻取得:   0%|          | 2/910 [00:06<46:10,  3.05s/race, empty=0, err=0, saved=2]11:02:35 INFO src.database.init_db: 払戻保存: race_id=202606010103, 12 件
払戻取得:   0%|          | 3/910 [00:09<45:40,  3.02s/race, empty=0, err=0, saved=3]11:02:38 INFO src.database.init_db: 払戻保存: race_id=202606010104, 12 件
払戻取得:   0%|          | 4/910 [00:12<44:46,  2.96s/race, empty=0, err=0, saved=4]11:02:40 INFO src.database.init_db: 払戻保存: race_id=202606010105, 12 件
払戻取得:   1%|          | 5/910 [00:14<43:53,  2.91s/race, empty=0, err=0, saved=5]11:02:43 INFO src.database.init_db: 払戻保存: race_id=202606010106, 12 件
払戻取得:   1%|          | 6/910 [00:17<43:58,  2.92s/race, empty=0, err=0, saved=6]11:02:46 INFO src.database.init_db: 払戻保存: race_id=202606010107, 12 件
払戻取得:   1%|          | 7/910 [00:20<44:22,  2.95s/race, empty=0, err=0, saved=7]11:02:49 INFO src.database.init_db: 払戻保存: race_id=202606010108, 12 件
払戻取得:   1%|          | 8/910 [00:23<44:25,  2.96s/race, empty=0, err=0, saved=8]11:02:52 INFO src.database.init_db: 払戻保存: race_id=202606010109, 12 件
払戻取得:   1%|          | 9/910 [00:26<43:42,  2.91s/race, empty=0, err=0, saved=9]11:02:55 INFO src.database.init_db: 払戻保存: race_id=202606010110, 11 件
払戻取得:   1%|1         | 10/910 [00:29<43:17,  2.89s/race, empty=0, err=0, saved=10]11:02:58 INFO src.database.init_db: 払戻保存: race_id=202606010111, 12 件
払戻取得:   1%|1         | 11/910 [00:32<43:22,  2.89s/race, empty=0, err=0, saved=11]11:03:01 INFO src.database.init_db: 払戻保存: race_id=202606010112, 12 件
払戻取得:   1%|1         | 12/910 [00:35<44:09,  2.95s/race, empty=0, err=0, saved=12]11:03:04 INFO src.database.init_db: 払戻保存: race_id=202608010101, 12 件
払戻取得:   1%|1         | 13/910 [00:38<44:13,  2.96s/race, empty=0, err=0, saved=13]11:03:07 INFO src.database.init_db: 払戻保存: race_id=202608010102, 12 件
払戻取得:   2%|1         | 14/910 [00:41<43:27,  2.91s/race, empty=0, err=0, saved=14]11:03:10 INFO src.database.init_db: 払戻保存: race_id=202608010103, 12 件
