id,race_id,bet_type,combination,payout
89223,202606030608,単勝,10,10000
89235,202606030609,単勝,12,12000
89343,202609020606,単勝,10,10000
89379,202609020609,単勝,14,14000
116346,202603010303,単勝,16,16000
116430,202603010310,単勝,8,8000
116465,202606030701,単勝,15,15000
116619,202609020702,単勝,16,16000
116857,202603010410,単勝,13,13000
116963,202606030807,単勝,13,13000
117083,202609020805,単勝,13,13000
117286,202603010110,単勝,16,16000
265254,202605020110,単勝,15,15000
268357,202605020112,単勝,13,13000
268381,202608030103,単勝,15,15000
308193,202606010101,単勝,16,16000
308203,202606010102,単勝,13,13000
308213,202606010103,単勝,16,15000
308224,202606010104,単勝,12,12000
308234,202606010105,単勝,16,16000
308244,202606010106,単勝,17,17000
308254,202606010107,単勝,16,16000
308264,202606010108,単勝,16,16000
308274,202606010109,単勝,11,11000
308283,202606010110,単勝,8,8000
308292,202606010111,単勝,14,14000
308302,202606010112,単勝,16,16000
308312,202608010101,単勝,16,16000
308321,202608010102,単勝,16,16000
308331,202608010103,単勝,16,16000
308341,202608010104,単勝,12,12000
308351,202608010105,単勝,18,18000
308361,202608010106,単勝,7,7000
308369,202608010107,単勝,10,10000
308379,202608010108,単勝,16,16000
308389,202608010109,単勝,13,13000
308399,202608010110,単勝,9,9000
308409,202608010111,単勝,18,18000
308419,202608010112,単勝,12,12000
308429,202606010201,単勝,16,16000
308439,202606010202,単勝,16,16000
308448,202606010203,単勝,12,12000
308458,202606010204,単勝,13,13000
308468,202606010205,単勝,16,16000
308478,202606010206,単勝,18,18000
308488,202606010207,単勝,10,10000
308498,202606010208,単勝,9,9000
308508,202606010209,単勝,12,12000
308518,202606010210,単勝,12,11000
308529,202606010211,単勝,14,14000
308539,202606010212,単勝,16,16000
308549,202608010201,単勝,14,14000
308559,202608010202,単勝,16,16000
308569,202608010203,単勝,14,14000
308579,202608010204,単勝,11,11000
308589,202608010205,単勝,17,17000
308599,202608010206,単勝,15,14000
308611,202608010207,単勝,15,15000
308621,202608010208,単勝,15,15000
308631,202608010209,単勝,11,11000
308641,202608010210,単勝,16,16000
308651,202608010211,単勝,9,9000
308661,202608010212,単勝,15,15000
308671,202606010301,単勝,16,16000
308681,202606010302,単勝,16,16000
308691,202606010303,単勝,16,16000
308701,202606010304,単勝,12,12000
308711,202606010305,単勝,15,15000
308721,202606010306,単勝,16,16000
308730,202606010307,単勝,16,16000
308740,202606010308,単勝,13,13000
308750,202606010309,単勝,10,10000
308760,202606010310,単勝,16,16000
308770,202606010311,単勝,17,17000
