id,race_id,bet_type,combination,payout,popularity
542837,202504010103,単勝,15,15000,
542861,202504010105,単勝,16,16000,
543121,202508020303,単勝,18,18000,
543157,202508020306,単勝,9,9000,
543432,202505020405,単勝,16,16000,
543598,202508020407,単勝,9,9000,
543656,202508020412,単勝,16,16000,
543716,202504010305,単勝,15,15000,
543752,202504010308,単勝,13,13000,
543787,202504010311,単勝,16,16000,
544060,202508020510,単勝,8,8000,
544155,202504010406,単勝,16,16000,
544203,202504010410,単勝,15,15000,
544405,202508020603,単勝,18,18000,
544441,202508020606,単勝,11,11000,
544464,202508020608,単勝,14,14000,
544536,202504010502,単勝,15,15000,
544751,202505020708,単勝,13,13000,
545291,202508020805,単勝,13,13000,
545339,202508020809,単勝,9,9000,
545450,202504010706,単勝,15,15000,
545822,202504010801,単勝,16,16000,
545870,202504010805,単勝,16,16000,
546275,202505021103,単勝,18,18000,
546465,202508021108,単勝,18,18000,
546609,202505021208,単勝,16,16000,
546681,202508021202,単勝,14,14000,
546813,202505030101,単勝,14,14000,
546825,202505030102,単勝,16,16000,
546945,202505030112,単勝,15,15000,
547328,202509030208,単勝,13,13000,
547340,202509030209,単勝,8,8000,
547375,202509030212,単勝,16,16000,
547711,202509030304,単勝,18,18000,
547828,202502010202,単勝,14,14000,
548092,202505030412,単勝,16,16000,
548331,202502010308,単勝,12,12000,
548401,202505030502,単勝,16,16000,
548557,202509030503,単勝,16,16000,
548641,202509030510,単勝,12,12000,
548917,202505030609,単勝,16,16000,
549603,202502010607,単勝,11,11000,
549615,202502010608,単勝,11,11000,
549639,202502010610,単勝,11,11000,
549829,202510020202,単勝,17,17000,
549971,202502010702,単勝,12,12000,
550029,202502010707,単勝,12,12000,
550064,202502010710,単勝,14,14000,
550230,202503020312,単勝,15,15000,
550370,202510020312,単勝,10,10000,
550607,202503020408,単勝,14,14000,
550818,202502010902,単勝,12,12000,
550948,202503020501,単勝,10,10000,
551032,202503020508,単勝,15,15000,
551104,202510020502,単勝,16,16000,
551258,202502011003,単勝,16,16000,
551364,202502011012,単勝,8,8000,
551507,202503020612,単勝,9,9000,
551613,202510020609,単勝,14,14000,
552223,202502011212,単勝,13,13000,
552269,202503020804,単勝,8,8000,
552316,202503020808,単勝,14,14000,
552376,202510020801,単勝,11,11000,
552567,202501010105,単勝,13,13000,
552719,202504020106,単勝,15,15000,
552827,202507030103,単勝,6,6000,
552930,202507030112,単勝,10,10000,
552990,202501010205,単勝,6,6000,
553000,202501010206,単勝,9,9000,
553185,202504020210,単勝,14,14000,
553221,202507030201,単勝,14,14000,
553502,202504020301,単勝,14,14000,
553646,202507030301,単勝,5,5000,
553810,202501010403,単勝,16,16000,
554068,202507030401,単勝,5,5000,
554183,202507030411,単勝,8,8000,
554374,202504020503,単勝,17,17000,
554434,202504020508,単勝,9,9000,
554494,202507030501,単勝,9,9000,
554542,202507030505,単勝,16,16000,
554588,202507030509,単勝,9,9000,
554816,202504020604,単勝,14,14000,
554864,202504020608,単勝,18,18000,
555078,202501010702,単勝,14,14000,
555162,202501010709,単勝,8,8000,
555257,202504020705,単勝,17,17000,
555281,202504020707,単勝,15,15000,
555365,202507030702,単勝,10,10000,
555437,202507030708,単勝,8,8000,
555863,202507030808,単勝,6,6000,
555897,202507030811,単勝,15,15000,
555921,202501020101,単勝,8,8000,
556028,202501020110,単勝,14,14000,
556132,202504030107,単勝,11,11000,
556144,202504030108,単勝,11,11000,
556251,202507040105,単勝,10,10000,
556332,202507040112,単勝,7,7000,
556402,202501020206,単勝,16,16000,
556580,202504030209,単勝,18,18000,
556675,202507040205,単勝,5,5000,
556932,202504030303,単勝,11,11000,
556944,202504030304,単勝,15,15000,
557004,202504030309,単勝,18,18000,
557052,202507040301,単勝,12,12000,
557124,202507040307,単勝,10,10000,
557195,202501020401,単勝,10,10000,
557635,202501020502,単勝,11,11000,
557695,202501020507,単勝,14,14000,
557920,202509040102,単勝,5,5000,
558026,202509040111,単勝,14,14000,
558265,202506040207,単勝,16,16000,
558473,202506040301,単勝,11,11000,
558569,202506040309,単勝,11,11000,
558628,202509040302,単勝,8,8000,
558851,202506040409,単勝,8,8000,
559028,202509040412,単勝,16,16000,
559100,202506040506,単勝,11,11000,
559263,202509040508,単勝,8,8000,
559274,202509040509,単勝,13,13000,
559536,202509040607,単勝,16,16000,
559580,202509040611,単勝,13,13000,
559819,202509040707,単勝,13,13000,
559855,202509040710,単勝,9,9000,
559867,202509040711,単勝,10,10000,
560011,202506040811,単勝,16,16000,
560166,202509040812,単勝,16,16000,
560297,202506040911,単勝,16,16000,
560357,202509040904,単勝,9,9000,
560429,202509040910,単勝,16,16000,
560501,202505040104,単勝,11,11000,
561049,202505040302,単勝,16,16000,
561145,202505040310,単勝,16,16000,
561367,202505040405,単勝,12,12000,
561509,202508030405,単勝,13,13000,
561746,202508030501,単勝,8,8000,
562173,202508030601,単勝,9,9000,
562243,202508030607,単勝,8,8000,
562372,202504040206,単勝,15,15000,
562396,202504040208,単勝,15,15000,
562503,202505040705,単勝,18,18000,
562692,202508030709,単勝,7,7000,
562906,202505040803,単勝,9,9000,
562989,202505040810,単勝,16,16000,
563025,202508030801,単勝,14,14000,
563037,202508030802,単勝,11,11000,
563288,202504040411,単勝,17,17000,
563471,202508030902,単勝,10,10000,
563879,202508031012,単勝,15,15000,
563903,202505041102,単勝,14,14000,
564021,202505041112,単勝,13,13000,
564202,202503030103,単勝,15,15000,
564286,202503030110,単勝,16,16000,
564573,202508040110,単勝,12,12000,
564600,202508040112,単勝,14,14000,
564672,202503030206,単勝,15,15000,
564768,202505050202,単勝,16,16000,
564862,202505050210,単勝,12,12000,
564992,202508040209,単勝,8,8000,
565099,202503030306,単勝,16,16000,
565147,202503030310,単勝,15,15000,
565303,202505050311,単勝,16,16000,
565433,202508040310,単勝,16,16000,
565648,202505050404,単勝,16,16000,
565672,202505050406,単勝,16,16000,
566346,202508040602,単勝,13,13000,
566464,202508040612,単勝,16,16000,
